"","Ndiaye","","EVE","MID","6.0","2.1","","1.00"
"","Garner","","EVE","MID","6.0","0","","0.00"
"","Iroegbunam","","EVE","MID","5.0","0","","0.00"
"","George","","EVE","MID","5.5","2","","1.00"
"","Alcaraz","","EVE","MID","5.0","1.5","","1.00"
"","Armstrong","","EVE","MID","5.0","1.5","","1.00"
"","Dibling","","EVE","MID","5.5","2","","1.00"
"","Röhl","","EVE","MID","5.0","1.5","","1.00"
"","Hackney","","EVE","MID","5.5","2","","1.00"
"","Beto","","EVE","FWD","5.5","1.8","","1.00"
"","Barry","","EVE","FWD","5.5","1.8","","1.00"
"","Leno","","FUL","GKP","4.5","1.9","","1.00"
"","Lecomte","","FUL","GKP","4.0","1","","1.00"
"","McNally","","FUL","GKP","4.0","1","","1.00"
"","Andersen","","FUL","DEF","5.0","0","","0.00"
"","Robinson","","FUL","DEF","4.5","1.7","","1.00"
"","J.Cuenca","","FUL","DEF","4.5","1.7","","1.00"
"","Tete","","FUL","DEF","4.5","1.7","","1.00"
"","Bassey","","FUL","DEF","4.5","1.7","","1.00"
"","Castagne","","FUL","DEF","4.5","1.7","","1.00"
"","Iwobi","","FUL","MID","5.5","2","","1.00"
"","Smith Rowe","","FUL","MID","5.5","2","","1.00"
"","Kevin","","FUL","MID","5.5","2","","1.00"
"","Bobb","","FUL","MID","5.5","2","","1.00"
"","Berge","","FUL","MID","5.0","1.5","","1.00"
"","Cairney","","FUL","MID","5.0","0","","0.00"
"","King","","FUL","MID","5.5","2","","1.00"
"","Sessegnon","","FUL","DEF","4.5","1.7","","1.00"
"","Reed","","FUL","MID","4.5","1","","1.00"
"","Muniz","","FUL","FWD","5.5","1.8","","1.00"
"","Kusi-Asare","","FUL","FWD","4.5","1","","1.00"
"","Gonzalo","","FUL","FWD","6.0","2","","1.00"
"","Palacios","","FUL","MID","5.5","2","","1.00"
"","Charles","","FUL","MID","5.0","1.5","","1.00"
"","Phillips","","HUL","GKP","4.0","1","","1.00"
"","Butland","","HUL","GKP","4.5","0","","0.00"
"","Cartwright","","HUL","GKP","4.0","0","","0.00"
"","Lo-Tutala","","HUL","GKP","4.0","1","","1.00"
"","Egan","","HUL","DEF","4.0","1","","1.00"
"","Hughes","","HUL","DEF","4.0","0","","0.00"
"","Ajayi","","HUL","DEF","4.0","1","","1.00"
"","Coyle","","HUL","DEF","4.0","1","","1.00"
"","Drameh","","HUL","DEF","4.0","0","","0.00"
"","Giles","","HUL","DEF","4.0","1","","1.00"
"","Jacob","","HUL","DEF","4.0","0.8","","0.75"
"","McCarthy","","HUL","DEF","4.0","1","","1.00"
"","McNair","","HUL","DEF","4.0","1","","1.00"
"","Belloumi","","HUL","MID","5.0","1.5","","1.00"
"","Millar","","HUL","MID","5.0","1.5","","1.00"
"","Dowell","","HUL","MID","4.5","1","","1.00"
"","Crooks","","HUL","MID","4.5","1","","1.00"
"","Slater","","HUL","MID","4.5","1","","1.00"
"","Matazo","","HUL","MID","4.5","0","","0.00"
"","Ömür","","HUL","MID","5.0","1.5","","1.00"
"","Kamara","","HUL","MID","5.0","0","","0.00"
"","Zambrano","","HUL","MID","4.5","0","","0.00"
"","McBurnie","","HUL","FWD","5.5","1.8","","1.00"
"","Akintola","","HUL","MID","5.0","1.5","","1.00"
"","Gyabi","","HUL","MID","4.5","0","","0.00"
"","Destan","","HUL","FWD","4.5","1","","1.00"
"","Burstow","","HUL","FWD","4.5","0","","0.00"
"","Targett","","HUL","DEF","4.0","1","","1.00"
"","Morita","","HUL","MID","5.0","0.7","","0.50"
"","Tzolakis","","HUL","GKP","4.5","1.9","","1.00"
"","Hjertø-Dahl","","HUL","MID","5.0","1.5","","1.00"
"","Stroud","","HUL","MID","5.0","1.5","","1.00"
"","Herrington","","HUL","DEF","4.0","1","","1.00"
"","Mendy","","HUL","DEF","4.0","1","","1.00"
"","Diop","","IPS","DEF","4.0","1","","1.00"
"","Lukić","","IPS","MID","5.0","1.5","","1.00"
"","Walton","","IPS","GKP","4.5","1.9","","1.00"
"","Palmer","","IPS","GKP","4.0","1","","1.00"
"","Button","","IPS","GKP","4.0","1","","1.00"
"","Kipré","","IPS","DEF","4.0","1","","1.00"
"","O'Shea","","IPS","DEF","4.0","1","","1.00"
"","Davis","","IPS","DEF","4.0","1","","1.00"
"","Greaves","","IPS","DEF","4.0","1","","1.00"
"","Johnson","","IPS","DEF","4.0","1","","1.00"
"","Furlong","","IPS","DEF","4.0","1","","1.00"
"","Núñez","","IPS","MID","5.0","1.5","","1.00"
"","Matusiwa","","IPS","MID","5.0","0","","0.00"
"","Burns","","IPS","MID","5.0","0","","0.00"
"","Taylor","","IPS","MID","4.5","0","","0.00"
"","Clarke","","IPS","MID","5.5","2","","1.00"
"","Ogbene","","IPS","MID","5.0","1.5","","1.00"
"","Fatawu","","IPS","MID","5.5","2","","1.00"
"","Emersonn","","IPS","FWD","5.5","1.8","","1.00"
"","Hirst","","IPS","FWD","5.0","1.4","","1.00"
"","Philogene","","IPS","MID","5.5","2","","1.00"
"","Szmodics","","IPS","MID","5.0","1.5","","1.00"
"","Akpom","","IPS","FWD","5.0","1.4","","1.00"
"","Walle Egeli","","IPS","FWD","4.5","1","","1.00"
"","Al-Hamadi","","IPS","FWD","5.0","1.4","","1.00"
"","McAteer","","IPS","MID","4.5","1","","1.00"
"","Mehmeti","","IPS","MID","5.0","1.5","","1.00"
"","Van Oevelen","","IPS","GKP","4.5","1.9","","1.00"
"","Maeda","","IPS","MID","5.5","2","","1.00"
"","Scherpen","","IPS","GKP","4.5","1.9","","1.00"
"","Florentino","","IPS","MID","5.0","1.5","","1.00"
"","Wilson","","LEE","MID","6.5","2.3","","1.00"
"","Perri","","LEE","GKP","4.5","1.9","","1.00"
"","Bijol","","LEE","DEF","5.0","2.2","","1.00"
"","Rodon","","LEE","DEF","4.5","1.7","","1.00"
"","Bogle","","LEE","DEF","4.5","1.7","","1.00"
"","Gudmundsson","","LEE","DEF","4.5","0","","0.00"
"","Justin","","LEE","DEF","4.5","1.7","","1.00"
"","Bornauw","","LEE","DEF","4.5","1.7","","1.00"
"","Muharemović","","LEE","DEF","5.0","2.2","","1.00"
"","Stach","","LEE","MID","6.0","2.1","","1.00"
"","Okafor","","LEE","MID","6.0","2.1","","1.00"
"","Aaronson","","LEE","MID","5.5","2","","1.00"
"","Ampadu","","LEE","MID","5.5","2","","1.00"
"","Longstaff","","LEE","MID","5.0","1.5","","1.00"
"","Gelhardt","","LEE","MID","5.0","1.5","","1.00"
"","Gnonto","","LEE","MID","5.0","1.5","","1.00"
